test_id,maintenance_title,maintenance_description,combined_input_text,human_label,system_prediction,matched_keyword_count,matched_keywords,keyword_match_found,is_correct
769,ELECTRICAL Issue - Unit 501,Bathroom light burned out in Unit 501,ELECTRICAL Issue - Unit 501 Bathroom light burned out in Unit 501,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
770,ELECTRICAL Issue - Unit 208,Bedroom outlet sparks when plugging in charger in Unit 208,ELECTRICAL Issue - Unit 208 Bedroom outlet sparks when plugging in charger in Unit 208,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
771,ELECTRICAL Issue - Unit 405,Circuit breaker keeps tripping in Unit 405,ELECTRICAL Issue - Unit 405 Circuit breaker keeps tripping in Unit 405,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
772,STRUCTURAL Issue - Unit 503,Wall crack appearing in Unit 503 bedroom,STRUCTURAL Issue - Unit 503 Wall crack appearing in Unit 503 bedroom,STRUCTURAL,STRUCTURAL,3,wall|crack|structural,TRUE,TRUE
773,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,PLUMBING Issue - Unit 508 Bathroom sink clogged in Unit 508,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
774,STRUCTURAL Issue - Unit 502,Floor tiles loose in Unit 502 kitchen,STRUCTURAL Issue - Unit 502 Floor tiles loose in Unit 502 kitchen,STRUCTURAL,STRUCTURAL,3,floor|tile|structural,TRUE,TRUE
775,OTHER Issue - Unit 406,Neighbors too noisy during midnight in Unit 406,OTHER Issue - Unit 406 Neighbors too noisy during midnight in Unit 406,OTHER,OTHER,0,,FALSE,TRUE
776,ELECTRICAL Issue - Unit 201,Circuit breaker keeps tripping in Unit 201,ELECTRICAL Issue - Unit 201 Circuit breaker keeps tripping in Unit 201,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
777,ELECTRICAL Issue - Unit 504,Bedroom outlet sparks when plugging in charger in Unit 504,ELECTRICAL Issue - Unit 504 Bedroom outlet sparks when plugging in charger in Unit 504,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
778,STRUCTURAL Issue - Unit 407,Ceiling water stain in Unit 407,STRUCTURAL Issue - Unit 407 Ceiling water stain in Unit 407,PLUMBING,STRUCTURAL,2,ceiling|structural,TRUE,FALSE
779,ELECTRICAL Issue - Unit 205,Power outlet not working in Unit 205,ELECTRICAL Issue - Unit 205 Power outlet not working in Unit 205,ELECTRICAL,ELECTRICAL,3,electric|outlet|power,TRUE,TRUE
780,PLUMBING Issue - Unit 401,Low water pressure in shower of Unit 401,PLUMBING Issue - Unit 401 Low water pressure in shower of Unit 401,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
781,OTHER Issue - Unit 404,Neighbors too noisy during midnight in Unit 404,OTHER Issue - Unit 404 Neighbors too noisy during midnight in Unit 404,OTHER,OTHER,0,,FALSE,TRUE
782,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,STRUCTURAL Issue - Unit 309 Door frame damaged in Unit 309,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
783,PLUMBING Issue - Unit 306,Low water pressure in shower of Unit 306,PLUMBING Issue - Unit 306 Low water pressure in shower of Unit 306,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
784,ELECTRICAL Issue - Unit 209,Bathroom light burned out in Unit 209,ELECTRICAL Issue - Unit 209 Bathroom light burned out in Unit 209,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
785,ELECTRICAL Issue - Unit 401,Power outlet not working in Unit 401,ELECTRICAL Issue - Unit 401 Power outlet not working in Unit 401,ELECTRICAL,ELECTRICAL,3,electric|outlet|power,TRUE,TRUE
786,PLUMBING Issue - Unit 408,Low water pressure in shower of Unit 408,PLUMBING Issue - Unit 408 Low water pressure in shower of Unit 408,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
787,OTHER Issue - Unit 401,Internet connection unstable in Unit 401,OTHER Issue - Unit 401 Internet connection unstable in Unit 401,OTHER,OTHER,0,,FALSE,TRUE
788,OTHER Issue - Unit 505,Bad smell in hallway near Unit 505,OTHER Issue - Unit 505 Bad smell in hallway near Unit 505,OTHER,OTHER,0,,FALSE,TRUE
789,PLUMBING Issue - Unit 201,Bathroom sink clogged in Unit 201,PLUMBING Issue - Unit 201 Bathroom sink clogged in Unit 201,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
790,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,ELECTRICAL Issue - Unit 306 Bathroom light burned out in Unit 306,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
791,OTHER Issue - Unit 406,Bad smell in hallway near Unit 406,OTHER Issue - Unit 406 Bad smell in hallway near Unit 406,OTHER,OTHER,0,,FALSE,TRUE
792,OTHER Issue - Unit 505,Aircon leaking in Unit 505 bedroom,OTHER Issue - Unit 505 Aircon leaking in Unit 505 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
793,ELECTRICAL Issue - Unit 502,Light fixture flickering in Unit 502 living room,ELECTRICAL Issue - Unit 502 Light fixture flickering in Unit 502 living room,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
794,OTHER Issue - Unit 308,Neighbors too noisy during midnight in Unit 308,OTHER Issue - Unit 308 Neighbors too noisy during midnight in Unit 308,OTHER,OTHER,0,,FALSE,TRUE
795,ELECTRICAL Issue - Unit 205,Bedroom outlet sparks when plugging in charger in Unit 205,ELECTRICAL Issue - Unit 205 Bedroom outlet sparks when plugging in charger in Unit 205,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
796,OTHER Issue - Unit 506,Internet connection unstable in Unit 506,OTHER Issue - Unit 506 Internet connection unstable in Unit 506,OTHER,OTHER,0,,FALSE,TRUE
797,OTHER Issue - Unit 206,Cockroaches seen near kitchen cabinet in Unit 206,OTHER Issue - Unit 206 Cockroaches seen near kitchen cabinet in Unit 206,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
798,OTHER Issue - Unit 202,Internet connection unstable in Unit 202,OTHER Issue - Unit 202 Internet connection unstable in Unit 202,OTHER,OTHER,0,,FALSE,TRUE
799,OTHER Issue - Unit 509,Neighbors too noisy during midnight in Unit 509,OTHER Issue - Unit 509 Neighbors too noisy during midnight in Unit 509,OTHER,OTHER,0,,FALSE,TRUE
800,OTHER Issue - Unit 206,Aircon leaking in Unit 206 bedroom,OTHER Issue - Unit 206 Aircon leaking in Unit 206 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
801,STRUCTURAL Issue - Unit 210,Door frame damaged in Unit 210,STRUCTURAL Issue - Unit 210 Door frame damaged in Unit 210,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
802,STRUCTURAL Issue - Unit 506,Wall crack appearing in Unit 506 bedroom,STRUCTURAL Issue - Unit 506 Wall crack appearing in Unit 506 bedroom,STRUCTURAL,STRUCTURAL,3,wall|crack|structural,TRUE,TRUE
803,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,PLUMBING Issue - Unit 203 Bathroom sink clogged in Unit 203,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
804,ELECTRICAL Issue - Unit 504,Light fixture flickering in Unit 504 living room,ELECTRICAL Issue - Unit 504 Light fixture flickering in Unit 504 living room,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
805,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,OTHER Issue - Unit 303 Aircon leaking in Unit 303 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
806,OTHER Issue - Unit 404,Bad smell in hallway near Unit 404,OTHER Issue - Unit 404 Bad smell in hallway near Unit 404,OTHER,OTHER,0,,FALSE,TRUE
807,OTHER Issue - Unit 502,Aircon leaking in Unit 502 bedroom,OTHER Issue - Unit 502 Aircon leaking in Unit 502 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
808,ELECTRICAL Issue - Unit 304,Bathroom light burned out in Unit 304,ELECTRICAL Issue - Unit 304 Bathroom light burned out in Unit 304,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
809,PLUMBING Issue - Unit 404,Low water pressure in shower of Unit 404,PLUMBING Issue - Unit 404 Low water pressure in shower of Unit 404,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
810,OTHER Issue - Unit 405,Neighbors too noisy during midnight in Unit 405,OTHER Issue - Unit 405 Neighbors too noisy during midnight in Unit 405,OTHER,OTHER,0,,FALSE,TRUE
