test_id,maintenance_title,maintenance_description,human_label
MR-769,ELECTRICAL Issue - Unit 501,Bathroom light burned out in Unit 501,
MR-770,ELECTRICAL Issue - Unit 208,Bedroom outlet sparks when plugging in charger in Unit 208,
MR-771,ELECTRICAL Issue - Unit 405,Circuit breaker keeps tripping in Unit 405,
MR-772,STRUCTURAL Issue - Unit 503,Wall crack appearing in Unit 503 bedroom,
MR-773,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,
MR-774,STRUCTURAL Issue - Unit 502,Floor tiles loose in Unit 502 kitchen,
MR-775,OTHER Issue - Unit 406,Neighbors too noisy during midnight in Unit 406,
MR-776,ELECTRICAL Issue - Unit 201,Circuit breaker keeps tripping in Unit 201,
MR-777,ELECTRICAL Issue - Unit 504,Bedroom outlet sparks when plugging in charger in Unit 504,
MR-778,STRUCTURAL Issue - Unit 407,Ceiling water stain in Unit 407,
MR-779,ELECTRICAL Issue - Unit 205,Power outlet not working in Unit 205,
MR-780,PLUMBING Issue - Unit 401,Low water pressure in shower of Unit 401,
MR-781,OTHER Issue - Unit 404,Neighbors too noisy during midnight in Unit 404,
MR-782,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,
MR-783,PLUMBING Issue - Unit 306,Low water pressure in shower of Unit 306,
MR-784,ELECTRICAL Issue - Unit 209,Bathroom light burned out in Unit 209,
MR-785,ELECTRICAL Issue - Unit 401,Power outlet not working in Unit 401,
MR-786,PLUMBING Issue - Unit 408,Low water pressure in shower of Unit 408,
MR-787,OTHER Issue - Unit 401,Internet connection unstable in Unit 401,
MR-788,OTHER Issue - Unit 505,Bad smell in hallway near Unit 505,
MR-789,PLUMBING Issue - Unit 201,Bathroom sink clogged in Unit 201,
MR-790,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,
MR-791,OTHER Issue - Unit 406,Bad smell in hallway near Unit 406,
MR-792,OTHER Issue - Unit 505,Aircon leaking in Unit 505 bedroom,
MR-793,ELECTRICAL Issue - Unit 502,Light fixture flickering in Unit 502 living room,
MR-794,OTHER Issue - Unit 308,Neighbors too noisy during midnight in Unit 308,
