test_id,maintenance_title,maintenance_description,priority_level,system_prediction,confidence,model_available,is_correct
769,ELECTRICAL Issue - Unit 501,Bathroom light burned out in Unit 501,HIGH,LOW,0.4257,TRUE,FALSE
770,ELECTRICAL Issue - Unit 208,Bedroom outlet sparks when plugging in charger in Unit 208,HIGH,LOW,0.5333,TRUE,FALSE
771,ELECTRICAL Issue - Unit 405,Circuit breaker keeps tripping in Unit 405,HIGH,MEDIUM,0.5800,TRUE,FALSE
772,STRUCTURAL Issue - Unit 503,Wall crack appearing in Unit 503 bedroom,LOW,LOW,0.6667,TRUE,TRUE
773,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,HIGH,MEDIUM,0.7492,TRUE,FALSE
774,STRUCTURAL Issue - Unit 502,Floor tiles loose in Unit 502 kitchen,MEDIUM,HIGH,0.5600,TRUE,FALSE
775,OTHER Issue - Unit 406,Neighbors too noisy during midnight in Unit 406,HIGH,MEDIUM,0.6800,TRUE,FALSE
776,ELECTRICAL Issue - Unit 201,Circuit breaker keeps tripping in Unit 201,HIGH,LOW,0.6867,TRUE,FALSE
777,ELECTRICAL Issue - Unit 504,Bedroom outlet sparks when plugging in charger in Unit 504,HIGH,LOW,0.6933,TRUE,FALSE
778,STRUCTURAL Issue - Unit 407,Ceiling water stain in Unit 407,MEDIUM,MEDIUM,0.8485,TRUE,TRUE
779,ELECTRICAL Issue - Unit 205,Power outlet not working in Unit 205,HIGH,HIGH,0.6800,TRUE,TRUE
780,PLUMBING Issue - Unit 401,Low water pressure in shower of Unit 401,MEDIUM,LOW,0.7400,TRUE,FALSE
781,OTHER Issue - Unit 404,Neighbors too noisy during midnight in Unit 404,HIGH,MEDIUM,0.7016,TRUE,FALSE
782,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,MEDIUM,LOW,0.5325,TRUE,FALSE
783,PLUMBING Issue - Unit 306,Low water pressure in shower of Unit 306,MEDIUM,HIGH,0.6933,TRUE,FALSE
784,ELECTRICAL Issue - Unit 209,Bathroom light burned out in Unit 209,HIGH,MEDIUM,0.7333,TRUE,FALSE
785,ELECTRICAL Issue - Unit 401,Power outlet not working in Unit 401,HIGH,HIGH,0.7067,TRUE,TRUE
786,PLUMBING Issue - Unit 408,Low water pressure in shower of Unit 408,MEDIUM,HIGH,0.6867,TRUE,FALSE
787,OTHER Issue - Unit 401,Internet connection unstable in Unit 401,MEDIUM,LOW,0.3721,TRUE,FALSE
788,OTHER Issue - Unit 505,Bad smell in hallway near Unit 505,HIGH,LOW,0.7067,TRUE,FALSE
789,PLUMBING Issue - Unit 201,Bathroom sink clogged in Unit 201,HIGH,LOW,0.6333,TRUE,FALSE
790,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,HIGH,LOW,0.5350,TRUE,FALSE
791,OTHER Issue - Unit 406,Bad smell in hallway near Unit 406,HIGH,MEDIUM,0.8892,TRUE,FALSE
792,OTHER Issue - Unit 505,Aircon leaking in Unit 505 bedroom,MEDIUM,HIGH,0.7067,TRUE,FALSE
793,ELECTRICAL Issue - Unit 502,Light fixture flickering in Unit 502 living room,HIGH,LOW,0.6568,TRUE,FALSE
794,OTHER Issue - Unit 308,Neighbors too noisy during midnight in Unit 308,HIGH,LOW,0.7851,TRUE,FALSE
795,ELECTRICAL Issue - Unit 205,Bedroom outlet sparks when plugging in charger in Unit 205,HIGH,HIGH,0.7600,TRUE,TRUE
796,OTHER Issue - Unit 506,Internet connection unstable in Unit 506,MEDIUM,MEDIUM,0.5692,TRUE,TRUE
797,OTHER Issue - Unit 206,Cockroaches seen near kitchen cabinet in Unit 206,HIGH,MEDIUM,0.8069,TRUE,FALSE
798,OTHER Issue - Unit 202,Internet connection unstable in Unit 202,MEDIUM,LOW,0.7533,TRUE,FALSE
799,OTHER Issue - Unit 509,Neighbors too noisy during midnight in Unit 509,HIGH,LOW,0.7358,TRUE,FALSE
800,OTHER Issue - Unit 206,Aircon leaking in Unit 206 bedroom,MEDIUM,MEDIUM,0.9072,TRUE,TRUE
801,STRUCTURAL Issue - Unit 210,Door frame damaged in Unit 210,MEDIUM,MEDIUM,0.8504,TRUE,TRUE
802,STRUCTURAL Issue - Unit 506,Wall crack appearing in Unit 506 bedroom,LOW,LOW,0.6267,TRUE,TRUE
803,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,HIGH,HIGH,0.9200,TRUE,TRUE
804,ELECTRICAL Issue - Unit 504,Light fixture flickering in Unit 504 living room,HIGH,MEDIUM,0.7600,TRUE,FALSE
805,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,MEDIUM,MEDIUM,0.5968,TRUE,TRUE
806,OTHER Issue - Unit 404,Bad smell in hallway near Unit 404,HIGH,LOW,0.7267,TRUE,FALSE
807,OTHER Issue - Unit 502,Aircon leaking in Unit 502 bedroom,MEDIUM,MEDIUM,0.8733,TRUE,TRUE
808,ELECTRICAL Issue - Unit 304,Bathroom light burned out in Unit 304,HIGH,HIGH,0.6800,TRUE,TRUE
809,PLUMBING Issue - Unit 404,Low water pressure in shower of Unit 404,MEDIUM,MEDIUM,0.7000,TRUE,TRUE
810,OTHER Issue - Unit 405,Neighbors too noisy during midnight in Unit 405,HIGH,HIGH,0.6000,TRUE,TRUE
811,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,HIGH,HIGH,0.9200,TRUE,TRUE
812,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,HIGH,LOW,0.5350,TRUE,FALSE
813,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,LOW,HIGH,0.6933,TRUE,FALSE
814,OTHER Issue - Unit 209,Cockroaches seen near kitchen cabinet in Unit 209,HIGH,HIGH,0.6868,TRUE,TRUE
815,ELECTRICAL Issue - Unit 202,Bathroom light burned out in Unit 202,HIGH,HIGH,0.7400,TRUE,TRUE
816,OTHER Issue - Unit 305,Neighbors too noisy during midnight in Unit 305,HIGH,MEDIUM,0.7103,TRUE,FALSE
817,OTHER Issue - Unit 410,Cockroaches seen near kitchen cabinet in Unit 410,HIGH,MEDIUM,0.5697,TRUE,FALSE
818,ELECTRICAL Issue - Unit 309,Circuit breaker keeps tripping in Unit 309,HIGH,HIGH,0.6849,TRUE,TRUE
819,OTHER Issue - Unit 403,Aircon leaking in Unit 403 bedroom,MEDIUM,LOW,0.6630,TRUE,FALSE
820,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,MEDIUM,LOW,0.5325,TRUE,FALSE
821,STRUCTURAL Issue - Unit 401,Door frame damaged in Unit 401,MEDIUM,MEDIUM,0.8145,TRUE,TRUE
822,STRUCTURAL Issue - Unit 507,Door frame damaged in Unit 507,MEDIUM,LOW,0.8328,TRUE,FALSE
823,OTHER Issue - Unit 208,Neighbors too noisy during midnight in Unit 208,HIGH,MEDIUM,0.7133,TRUE,FALSE
824,STRUCTURAL Issue - Unit 306,Crack near window in Unit 306 after heavy rain,MEDIUM,LOW,0.7250,TRUE,FALSE
825,OTHER Issue - Unit 405,Cockroaches seen near kitchen cabinet in Unit 405,HIGH,MEDIUM,0.8076,TRUE,FALSE
826,PLUMBING Issue - Unit 404,Bathroom sink clogged in Unit 404,HIGH,LOW,0.6708,TRUE,FALSE
