test_id,"Instructions
Please review each maintenance description carefully, then complete the following columns:

Human Label – Select the most appropriate category:
PLUMBING
ELECTRICAL
STRUCTURAL
OTHER
Priority Level – Select the urgency of the concern:
LOW
MEDIUM
HIGH

Choose the category and priority based on the main issue described. For concerns that do not clearly belong to Plumbing, Electrical, or Structural, select OTHER. Please do not change the maintenance descriptions and do not leave any item unanswered.",maintenance_description,human_label,Priority_level
MR-769,,Bathroom light burned out in Unit 501,,
MR-770,,Bedroom outlet sparks when plugging in charger in Unit 208,,
MR-771,,Circuit breaker keeps tripping in Unit 405,,
MR-772,,Wall crack appearing in Unit 503 bedroom,,
MR-773,,Bathroom sink clogged in Unit 508,,
MR-774,,Floor tiles loose in Unit 502 kitchen,,
MR-775,,Neighbors too noisy during midnight in Unit 406,,
MR-776,,Circuit breaker keeps tripping in Unit 201,,
MR-777,,Bedroom outlet sparks when plugging in charger in Unit 504,,
MR-778,,Ceiling water stain in Unit 407,,
MR-779,,Power outlet not working in Unit 205,,
MR-780,,Low water pressure in shower of Unit 401,,
MR-781,,Neighbors too noisy during midnight in Unit 404,,
MR-782,,Door frame damaged in Unit 309,,
MR-783,,Low water pressure in shower of Unit 306,,
MR-784,,Bathroom light burned out in Unit 209,,
MR-785,,Power outlet not working in Unit 401,,
MR-786,,Low water pressure in shower of Unit 408,,
MR-787,,Internet connection unstable in Unit 401,,
MR-788,,Bad smell in hallway near Unit 505,,
MR-789,,Bathroom sink clogged in Unit 201,,
MR-790,,Bathroom light burned out in Unit 306,,
MR-791,,Bad smell in hallway near Unit 406,,
MR-792,,Aircon leaking in Unit 505 bedroom,,
MR-793,,Light fixture flickering in Unit 502 living room,,
MR-794,,Neighbors too noisy during midnight in Unit 308,,
MR-795,,Bedroom outlet sparks when plugging in charger in Unit 205,,
MR-796,,Internet connection unstable in Unit 506,,
MR-797,,Cockroaches seen near kitchen cabinet in Unit 206,,
MR-798,,Internet connection unstable in Unit 202,,
MR-799,,Neighbors too noisy during midnight in Unit 509,,
MR-800,,Aircon leaking in Unit 206 bedroom,,
MR-801,,Door frame damaged in Unit 210,,
MR-802,,Wall crack appearing in Unit 506 bedroom,,
MR-803,,Bathroom sink clogged in Unit 203,,
MR-804,,Light fixture flickering in Unit 504 living room,,
MR-805,,Aircon leaking in Unit 303 bedroom,,
MR-806,,Bad smell in hallway near Unit 404,,
MR-807,,Aircon leaking in Unit 502 bedroom,,
MR-808,,Bathroom light burned out in Unit 304,,
MR-809,,Low water pressure in shower of Unit 404,,
MR-810,,Neighbors too noisy during midnight in Unit 405,,
MR-811,,Bathroom sink clogged in Unit 203,,
MR-812,,Bathroom light burned out in Unit 306,,
MR-813,,Wall crack appearing in Unit 210 bedroom,,
MR-814,,Cockroaches seen near kitchen cabinet in Unit 209,,
MR-815,,Bathroom light burned out in Unit 202,,
MR-816,,Neighbors too noisy during midnight in Unit 305,,
MR-817,,Cockroaches seen near kitchen cabinet in Unit 410,,
MR-818,,Circuit breaker keeps tripping in Unit 309,,
