record_code,title,description,human_category,system_category,category_correct,keyword_matched,human_priority,system_priority,priority_confidence,priority_correct
R001,ELECTRICAL Issue - Unit [Redacted],Bathroom light burned out in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Low,42.57%,No
R002,ELECTRICAL Issue - Unit [Redacted],Bedroom outlet sparks when plugging in charger in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Low,53.33%,No
R003,ELECTRICAL Issue - Unit [Redacted],Circuit breaker keeps tripping in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Medium,58.00%,No
R004,STRUCTURAL Issue - Unit [Redacted],Wall crack appearing in Unit [Redacted] bedroom,Structural,Structural,Yes,Yes,Low,Low,66.67%,Yes
R005,PLUMBING Issue - Unit [Redacted],Bathroom sink clogged in Unit [Redacted],Plumbing,Plumbing,Yes,Yes,High,Medium,74.92%,No
R006,STRUCTURAL Issue - Unit [Redacted],Floor tiles loose in Unit [Redacted] kitchen,Structural,Structural,Yes,Yes,Medium,High,56.00%,No
R007,OTHER Issue - Unit [Redacted],Neighbors too noisy during midnight in Unit [Redacted],Other,Other,Yes,No,High,Medium,68.00%,No
R008,ELECTRICAL Issue - Unit [Redacted],Circuit breaker keeps tripping in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Low,68.67%,No
R009,ELECTRICAL Issue - Unit [Redacted],Bedroom outlet sparks when plugging in charger in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Low,69.33%,No
R010,STRUCTURAL Issue - Unit [Redacted],Ceiling water stain in Unit [Redacted],Plumbing,Structural,No,Yes,Medium,Medium,84.85%,Yes
R011,ELECTRICAL Issue - Unit [Redacted],Power outlet not working in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,High,68.00%,Yes
R012,PLUMBING Issue - Unit [Redacted],Low water pressure in shower of Unit [Redacted],Plumbing,Plumbing,Yes,Yes,Medium,Low,74.00%,No
R013,OTHER Issue - Unit [Redacted],Neighbors too noisy during midnight in Unit [Redacted],Other,Other,Yes,No,High,Medium,70.16%,No
R014,STRUCTURAL Issue - Unit [Redacted],Door frame damaged in Unit [Redacted],Structural,Structural,Yes,Yes,Medium,Low,53.25%,No
R015,PLUMBING Issue - Unit [Redacted],Low water pressure in shower of Unit [Redacted],Plumbing,Plumbing,Yes,Yes,Medium,High,69.33%,No
R016,ELECTRICAL Issue - Unit [Redacted],Bathroom light burned out in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Medium,73.33%,No
R017,ELECTRICAL Issue - Unit [Redacted],Power outlet not working in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,High,70.67%,Yes
R018,PLUMBING Issue - Unit [Redacted],Low water pressure in shower of Unit [Redacted],Plumbing,Plumbing,Yes,Yes,Medium,High,68.67%,No
R019,OTHER Issue - Unit [Redacted],Internet connection unstable in Unit [Redacted],Other,Other,Yes,No,Medium,Low,37.21%,No
R020,OTHER Issue - Unit [Redacted],Bad smell in hallway near Unit [Redacted],Other,Other,Yes,No,High,Low,70.67%,No
R021,PLUMBING Issue - Unit [Redacted],Bathroom sink clogged in Unit [Redacted],Plumbing,Plumbing,Yes,Yes,High,Low,63.33%,No
R022,ELECTRICAL Issue - Unit [Redacted],Bathroom light burned out in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,Low,53.50%,No
R023,OTHER Issue - Unit [Redacted],Bad smell in hallway near Unit [Redacted],Other,Other,Yes,No,High,Medium,88.92%,No
R024,OTHER Issue - Unit [Redacted],Aircon leaking in Unit [Redacted] bedroom,Other,Plumbing,No,Yes,Medium,High,70.67%,No
R025,ELECTRICAL Issue - Unit [Redacted],Light fixture flickering in Unit [Redacted] living room,Electrical,Electrical,Yes,Yes,High,Low,65.68%,No
R026,OTHER Issue - Unit [Redacted],Neighbors too noisy during midnight in Unit [Redacted],Other,Other,Yes,No,High,Low,78.51%,No
R027,ELECTRICAL Issue - Unit [Redacted],Bedroom outlet sparks when plugging in charger in Unit [Redacted],Electrical,Electrical,Yes,Yes,High,High,76.00%,Yes
R028,OTHER Issue - Unit [Redacted],Internet connection unstable in Unit [Redacted],Other,Other,Yes,No,Medium,Medium,56.92%,Yes
R029,OTHER Issue - Unit [Redacted],Cockroaches seen near kitchen cabinet in Unit [Redacted],Other,Structural,No,Yes,High,Medium,80.69%,No
R030,OTHER Issue - Unit [Redacted],Internet connection unstable in Unit [Redacted],Other,Other,Yes,No,Medium,Low,75.33%,No
R031,OTHER Issue - Unit [Redacted],Neighbors too noisy during midnight in Unit [Redacted],Other,Other,Yes,No,High,Low,73.58%,No
R032,OTHER Issue - Unit [Redacted],Aircon leaking in Unit [Redacted] bedroom,Other,Plumbing,No,Yes,Medium,Medium,90.72%,Yes
R033,STRUCTURAL Issue - Unit [Redacted],Door frame damaged in Unit [Redacted],Structural,Structural,Yes,Yes,Medium,Medium,85.04%,Yes
R034,STRUCTURAL Issue - Unit [Redacted],Wall crack appearing in Unit [Redacted] bedroom,Structural,Structural,Yes,Yes,Low,Low,62.67%,Yes
R035,PLUMBING Issue - Unit [Redacted],Bathroom sink clogged in Unit [Redacted],Plumbing,Plumbing,Yes,Yes,High,High,92.00%,Yes
R036,ELECTRICAL Issue - Unit [Redacted],Light fixture flickering in Unit [Redacted] living room,Electrical,Electrical,Yes,Yes,High,Medium,76.00%,No
