test_id,maintenance_title,maintenance_description,human_label
769,ELECTRICAL Issue - Unit 501,Bathroom light burned out in Unit 501,ELECTRICAL
770,ELECTRICAL Issue - Unit 208,Bedroom outlet sparks when plugging in charger in Unit 208,ELECTRICAL
771,ELECTRICAL Issue - Unit 405,Circuit breaker keeps tripping in Unit 405,ELECTRICAL
772,STRUCTURAL Issue - Unit 503,Wall crack appearing in Unit 503 bedroom,STRUCTURAL
773,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,PLUMBING
774,STRUCTURAL Issue - Unit 502,Floor tiles loose in Unit 502 kitchen,STRUCTURAL
775,OTHER Issue - Unit 406,Neighbors too noisy during midnight in Unit 406,OTHER
776,ELECTRICAL Issue - Unit 201,Circuit breaker keeps tripping in Unit 201,ELECTRICAL
777,ELECTRICAL Issue - Unit 504,Bedroom outlet sparks when plugging in charger in Unit 504,ELECTRICAL
778,STRUCTURAL Issue - Unit 407,Ceiling water stain in Unit 407,PLUMBING
779,ELECTRICAL Issue - Unit 205,Power outlet not working in Unit 205,ELECTRICAL
780,PLUMBING Issue - Unit 401,Low water pressure in shower of Unit 401,PLUMBING
781,OTHER Issue - Unit 404,Neighbors too noisy during midnight in Unit 404,OTHER
782,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,STRUCTURAL
783,PLUMBING Issue - Unit 306,Low water pressure in shower of Unit 306,PLUMBING
784,ELECTRICAL Issue - Unit 209,Bathroom light burned out in Unit 209,ELECTRICAL
785,ELECTRICAL Issue - Unit 401,Power outlet not working in Unit 401,ELECTRICAL
786,PLUMBING Issue - Unit 408,Low water pressure in shower of Unit 408,PLUMBING
787,OTHER Issue - Unit 401,Internet connection unstable in Unit 401,OTHER
788,OTHER Issue - Unit 505,Bad smell in hallway near Unit 505,OTHER
789,PLUMBING Issue - Unit 201,Bathroom sink clogged in Unit 201,PLUMBING
790,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,ELECTRICAL
791,OTHER Issue - Unit 406,Bad smell in hallway near Unit 406,OTHER
792,OTHER Issue - Unit 505,Aircon leaking in Unit 505 bedroom,OTHER
793,ELECTRICAL Issue - Unit 502,Light fixture flickering in Unit 502 living room,ELECTRICAL
794,OTHER Issue - Unit 308,Neighbors too noisy during midnight in Unit 308,OTHER
795,ELECTRICAL Issue - Unit 205,Bedroom outlet sparks when plugging in charger in Unit 205,ELECTRICAL
796,OTHER Issue - Unit 506,Internet connection unstable in Unit 506,OTHER
797,OTHER Issue - Unit 206,Cockroaches seen near kitchen cabinet in Unit 206,OTHER
798,OTHER Issue - Unit 202,Internet connection unstable in Unit 202,OTHER
799,OTHER Issue - Unit 509,Neighbors too noisy during midnight in Unit 509,OTHER
800,OTHER Issue - Unit 206,Aircon leaking in Unit 206 bedroom,OTHER
801,STRUCTURAL Issue - Unit 210,Door frame damaged in Unit 210,STRUCTURAL
802,STRUCTURAL Issue - Unit 506,Wall crack appearing in Unit 506 bedroom,STRUCTURAL
803,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,PLUMBING
804,ELECTRICAL Issue - Unit 504,Light fixture flickering in Unit 504 living room,ELECTRICAL
805,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,OTHER
806,OTHER Issue - Unit 404,Bad smell in hallway near Unit 404,OTHER
807,OTHER Issue - Unit 502,Aircon leaking in Unit 502 bedroom,OTHER
808,ELECTRICAL Issue - Unit 304,Bathroom light burned out in Unit 304,ELECTRICAL
809,PLUMBING Issue - Unit 404,Low water pressure in shower of Unit 404,PLUMBING
810,OTHER Issue - Unit 405,Neighbors too noisy during midnight in Unit 405,OTHER
811,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,PLUMBING
812,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,ELECTRICAL
813,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,STRUCTURAL
814,OTHER Issue - Unit 209,Cockroaches seen near kitchen cabinet in Unit 209,OTHER
815,ELECTRICAL Issue - Unit 202,Bathroom light burned out in Unit 202,ELECTRICAL
816,OTHER Issue - Unit 305,Neighbors too noisy during midnight in Unit 305,OTHER
