test_id,maintenance_title,maintenance_description
769,ELECTRICAL Issue - Unit [REDACTED],Bathroom light burned out in Unit [REDACTED]
773,PLUMBING Issue - Unit [REDACTED],Bathroom sink clogged in Unit [REDACTED]
777,ELECTRICAL Issue - Unit [REDACTED],Bedroom outlet sparks when plugging in charger in Unit [REDACTED]
784,ELECTRICAL Issue - Unit [REDACTED],Bathroom light burned out in Unit [REDACTED]
785,ELECTRICAL Issue - Unit [REDACTED],Power outlet not working in Unit [REDACTED]
788,OTHER Issue - Unit [REDACTED],Bad smell in hallway near Unit [REDACTED]
789,PLUMBING Issue - Unit [REDACTED],Bathroom sink clogged in Unit [REDACTED]
790,ELECTRICAL Issue - Unit [REDACTED],Bathroom light burned out in Unit [REDACTED]
793,ELECTRICAL Issue - Unit [REDACTED],Light fixture flickering in Unit [REDACTED] living room
796,OTHER Issue - Unit [REDACTED],Internet connection unstable in Unit [REDACTED]
798,OTHER Issue - Unit [REDACTED],Internet connection unstable in Unit [REDACTED]
799,OTHER Issue - Unit [REDACTED],Neighbors too noisy during midnight in Unit [REDACTED]
804,ELECTRICAL Issue - Unit [REDACTED],Light fixture flickering in Unit [REDACTED] living room
806,OTHER Issue - Unit [REDACTED],Bad smell in hallway near Unit [REDACTED]
807,OTHER Issue - Unit [REDACTED],Aircon leaking in Unit [REDACTED] bedroom
808,ELECTRICAL Issue - Unit [REDACTED],Bathroom light burned out in Unit [REDACTED]
809,PLUMBING Issue - Unit [REDACTED],Low water pressure in shower of Unit [REDACTED]
814,OTHER Issue - Unit [REDACTED],Cockroaches seen near kitchen cabinet in Unit [REDACTED]
816,OTHER Issue - Unit [REDACTED],Neighbors too noisy during midnight in Unit [REDACTED]
818,ELECTRICAL Issue - Unit [REDACTED],Circuit breaker keeps tripping in Unit [REDACTED]
822,STRUCTURAL Issue - Unit [REDACTED],Door frame damaged in Unit [REDACTED]
823,OTHER Issue - Unit [REDACTED],Neighbors too noisy during midnight in Unit [REDACTED]
825,OTHER Issue - Unit [REDACTED],Cockroaches seen near kitchen cabinet in Unit [REDACTED]
831,PLUMBING Issue - Unit [REDACTED],Toilet won't stop running in Unit [REDACTED]
834,OTHER Issue - Unit [REDACTED],Aircon leaking in Unit [REDACTED] bedroom
835,STRUCTURAL Issue - Unit [REDACTED],Crack near window in Unit [REDACTED] after heavy rain
842,STRUCTURAL Issue - Unit [REDACTED],Door frame damaged in Unit [REDACTED]
847,ELECTRICAL Issue - Unit [REDACTED],Bathroom light burned out in Unit [REDACTED]
850,ELECTRICAL Issue - Unit [REDACTED],Bedroom outlet sparks when plugging in charger in Unit [REDACTED]
851,OTHER Issue - Unit [REDACTED],Cockroaches seen near kitchen cabinet in Unit [REDACTED]
852,PLUMBING Issue - Unit [REDACTED],Low water pressure in shower of Unit [REDACTED]
854,OTHER Issue - Unit [REDACTED],Cockroaches seen near kitchen cabinet in Unit [REDACTED]
857,OTHER Issue - Unit [REDACTED],Cockroaches seen near kitchen cabinet in Unit [REDACTED]
858,OTHER Issue - Unit [REDACTED],Bad smell in hallway near Unit [REDACTED]
861,OTHER Issue - Unit [REDACTED],Neighbors too noisy during midnight in Unit [REDACTED]
868,STRUCTURAL Issue - Unit [REDACTED],Crack near window in Unit [REDACTED] after heavy rain
875,PLUMBING Issue - Unit [REDACTED],Bathroom sink clogged in Unit [REDACTED]
878,STRUCTURAL Issue - Unit [REDACTED],Floor tiles loose in Unit [REDACTED] kitchen
879,STRUCTURAL Issue - Unit [REDACTED],Wall crack appearing in Unit [REDACTED] bedroom
883,PLUMBING Issue - Unit [REDACTED],Bathroom sink clogged in Unit [REDACTED]
885,PLUMBING Issue - Unit [REDACTED],Toilet won't stop running in Unit [REDACTED]
888,PLUMBING Issue - Unit [REDACTED],Faucet dripping in Unit [REDACTED] bathroom
892,OTHER Issue - Unit [REDACTED],Internet connection unstable in Unit [REDACTED]
894,PLUMBING Issue - Unit [REDACTED],Water leaking under kitchen sink in Unit [REDACTED]
897,ELECTRICAL Issue - Unit [REDACTED],Bedroom outlet sparks when plugging in charger in Unit [REDACTED]
902,PLUMBING Issue - Unit [REDACTED],Low water pressure in shower of Unit [REDACTED]
919,STRUCTURAL Issue - Unit [REDACTED],Door frame damaged in Unit [REDACTED]
921,OTHER Issue - Unit [REDACTED],Cockroaches seen near kitchen cabinet in Unit [REDACTED]
922,ELECTRICAL Issue - Unit [REDACTED],Bedroom outlet sparks when plugging in charger in Unit [REDACTED]
923,ELECTRICAL Issue - Unit [REDACTED],Bedroom outlet sparks when plugging in charger in Unit [REDACTED]
925,PLUMBING Issue - Unit [REDACTED],Toilet won't stop running in Unit [REDACTED]
929,ELECTRICAL Issue - Unit [REDACTED],Circuit breaker keeps tripping in Unit [REDACTED]
934,ELECTRICAL Issue - Unit [REDACTED],Power outlet not working in Unit [REDACTED]
943,OTHER Issue - Unit [REDACTED],Internet connection unstable in Unit [REDACTED]
946,PLUMBING Issue - Unit [REDACTED],Low water pressure in shower of Unit [REDACTED]
947,PLUMBING Issue - Unit [REDACTED],Water leaking under kitchen sink in Unit [REDACTED]
952,ELECTRICAL Issue - Unit [REDACTED],Circuit breaker keeps tripping in Unit [REDACTED]
955,OTHER Issue - Unit [REDACTED],Internet connection unstable in Unit [REDACTED]
956,OTHER Issue - Unit [REDACTED],Aircon leaking in Unit [REDACTED] bedroom
957,STRUCTURAL Issue - Unit [REDACTED],Door frame damaged in Unit [REDACTED]
